ip_address,mac_address,vendor,hostname,open_port_count,open_ports,services
198.51.100.1,02:00:00:00:00:02,Google,,7,"53/tcp, 80/tcp, 5000/tcp, 8080/tcp, 8081/tcp, 8443/tcp, 10010/tcp","53/tcp:domain, 80/tcp:http, 5000/tcp:upnp, 8080/tcp:http-proxy, 8081/tcp:blackice-icecap, 8443/tcp:https-alt, 10010/tcp:rxapi"
198.51.100.21,02:00:00:00:00:0b,The Chamberlain Group,garage-controller.example.invalid,1,80/tcp,80/tcp:http
198.51.100.22,02:00:00:00:00:01,Ieee Registration Authority,pool-controller.example.invalid,1,23/tcp,23/tcp:telnet
198.51.100.88,,,workstation.example.invalid,5,"135/tcp, 139/tcp, 445/tcp, 902/tcp, 912/tcp","135/tcp:msrpc, 139/tcp:netbios-ssn, 445/tcp:microsoft-ds, 902/tcp:vmware-auth, 912/tcp:vmware-auth"
